Business Name,Industry,Address,City,ZIP,Phone,Estimated Lot Size,Crime Risk Zone,Priority Tier,Notes,Estimated Monthly Value
South Tacoma Auto,Auto Dealership,6220 S Tacoma Way,Tacoma,98409,(253) 472-3337,Large,South Tacoma - High,1,Multiple break-ins reported in area,$8000-10000
Tacoma Dodge Chrysler Jeep Ram,Auto Dealership,4101 S Tacoma Way,Tacoma,98409,(253) 473-1321,Very Large,South Tacoma - High,1,High-value inventory exposure,$10000
South Tacoma Honda,Auto Dealership,5220 S Tacoma Way,Tacoma,98409,(253) 474-1651,Large,South Tacoma - High,1,Dealership row location,$8000-10000
Larson Toyota Tacoma,Auto Dealership,5700 Tacoma Mall Blvd,Tacoma,98409,(253) 473-7000,Very Large,Tacoma Mall - Medium,1,Premium brand high-value inventory,$10000
All American Motors,Auto Dealership,6247 S Tacoma Way,Tacoma,98409,(253) 472-9000,Medium,South Tacoma - High,1,Used car lot - high turnover,$8000
Gilchrist Tacoma,Auto Dealership,6014 S Tacoma Way,Tacoma,98409,(253) 474-1551,Large,South Tacoma - High,1,GMC/Chevrolet high-value trucks,$10000
Sunset Auto Wholesale,Auto Dealership,5915 S Tacoma Way,Tacoma,98409,(253) 471-7200,Medium,South Tacoma - High,1,Wholesale lot - visible from road,$8000
AutoNation Chevrolet Tacoma,Auto Dealership,3800 S Tacoma Way,Tacoma,98409,(253) 922-2673,Very Large,South Tacoma - High,1,Major dealership chain,$10000
Tacoma Auto Group,Auto Sales,Multiple Locations,Tacoma,98409,,Large,South Tacoma - High,1,Multiple lot locations,$8000
Bill Korum's Puyallup Nissan,Auto Dealership,1233 River Rd,Puyallup,98371,(253) 841-4547,Large,Puyallup - Medium,1,Near Tacoma service area,$8000
Les Schwab Tire Center - South Tacoma,Auto Service,5601 S Tacoma Way,Tacoma,98409,(253) 472-3138,Medium,South Tacoma - High,2,Tire inventory theft risk,$3500-4000
Midas Auto Service,Auto Service,7202 S Tacoma Way,Tacoma,98409,(253) 473-5959,Small,South Tacoma - High,2,Auto shop break-ins reported,$3500
Big O Tires,Auto Service,5620 6th Ave,Tacoma,98406,(253) 756-5000,Medium,Central Tacoma - High,2,Tire inventory exposure,$3500-4000
Enterprise Rent-A-Car - Tacoma,Car Rental,4702 S Pine St,Tacoma,98409,(253) 473-6767,Large,South Tacoma - High,1,Fleet vehicle protection needed,$8000-10000
Budget Truck Rental,Truck Rental,5615 S Tacoma Way,Tacoma,98409,(253) 475-8294,Large,South Tacoma - High,2,Commercial vehicle lot,$4000
U-Haul Moving & Storage of Tacoma,Equipment Rental,5102 6th Ave,Tacoma,98406,(253) 565-0161,Very Large,Central Tacoma - High,2,Equipment and vehicle inventory,$8000
Turner Construction,Construction,Seattle Metro,Seattle,98101,,N/A,Regional,1,Active in Tacoma - large projects,$8000-10000
Absher Construction,Construction,8811 S Tacoma Way,Tacoma,98499,(253) 588-5400,Medium,Lakewood - Medium,2,Local GC - job site security needs,$4000-8000
Lydig Construction,Construction,10306 Bridgeport Way SW,Lakewood,98499,(253) 581-8600,Large,Lakewood - Medium,1,Major regional builder,$8000
Hap Taylor & Sons,Construction,10509 Gravelly Lake Dr SW,Lakewood,98499,(253) 588-5596,Medium,Lakewood - Medium,2,Family-owned GC since 1946,$4000-8000
Gary Merlino Construction,Construction,21750 Marine View Dr S,Des Moines,98198,(206) 878-1800,Large,South King County,2,Heavy civil - equipment protection,$8000
Progressive Building Solutions,Construction,7509 S Tacoma Way,Tacoma,98409,(253) 473-9999,Small,South Tacoma - High,2,Commercial contractor,$3500-4000
Stoneway Concrete,Materials Supplier,1800 Sitkin Rd,Tacoma,98421,(253) 383-3545,Very Large,Port/Industrial - Medium,2,Material yard security,$8000
Stoneway Landscape Supply,Materials Supplier,3838 S Steele St,Tacoma,98409,(253) 473-5200,Large,South Tacoma - High,2,Open yard - theft risk,$4000-8000
Dunn Lumber,Materials Supplier,3707 6th Ave,Tacoma,98406,(253) 759-4000,Large,Central Tacoma - High,2,Lumber and materials exposed,$4000-8000
Pacific Topsoils,Materials Supplier,2424 S 96th St,Tacoma,98409,(253) 473-5100,Very Large,South Tacoma - High,2,Large open yard,$4000
Home Depot - South Tacoma,Retail,10202 S Tacoma Way,Lakewood,98499,(253) 588-9095,Very Large,Lakewood - Medium,3,Large parking lot - customer safety,$8000
Lowe's Home Improvement,Retail,5618 Main St SW,Lakewood,98499,(253) 581-8745,Very Large,Lakewood - Medium,3,Large parking lot - theft concerns,$8000
Tacoma Mall,Shopping Center,4502 S Steele St,Tacoma,98409,(253) 475-4565,Massive,Tacoma Mall - Medium,3,Major mall - parking lot liability,$10000+
Target - Tacoma,Retail,4402 S Steele St,Tacoma,98409,(253) 471-9580,Large,Tacoma Mall - Medium,3,High-traffic parking lot,$4000-8000
Fred Meyer,Retail,1201 39th Ave SE,Puyallup,98374,(253) 770-3633,Very Large,Puyallup - Medium,3,24-hour operation - parking security,$8000
Costco Wholesale - Tacoma,Retail,4601 S Pine St,Tacoma,98409,(253) 475-1778,Very Large,South Tacoma - High,3,High-value parking lot activity,$8000-10000
Walmart Supercenter,Retail,10015 Gravelly Lake Dr SW,Lakewood,98499,(253) 582-0894,Massive,Lakewood - Medium,3,24-hour parking lot concerns,$8000-10000
Sam's Club,Retail,7001 Lakewood Towne Center,Lakewood,98499,(253) 581-0771,Very Large,Lakewood - Medium,3,Member parking lot security,$8000
Puyallup Fairgrounds,Event Venue,110 9th Ave SW,Puyallup,98371,(253) 841-5045,Massive,Puyallup - Low,2,Seasonal events - temporary security,$4000-10000
Tacoma Dome,Event Venue,2727 E D St,Tacoma,98421,(253) 272-3663,Massive,Stadium District - Medium,2,Event parking lot management,$10000+
Northwest Self Storage,Storage Facility,6802 South Tacoma Way,Tacoma,98409,(253) 472-6909,Large,South Tacoma - High,3,Customer property protection,$4000-8000
Public Storage,Storage Facility,8315 S Hosmer St,Tacoma,98444,(253) 537-5105,Large,South Tacoma - High,3,High-crime area location,$4000-8000
Extra Space Storage,Storage Facility,7424 S Tacoma Way,Tacoma,98409,(253) 471-1717,Large,South Tacoma - High,3,South Tacoma Way - theft concerns,$4000-8000
Life Storage,Storage Facility,12001 Pacific Hwy SW,Lakewood,98499,(253) 581-6324,Large,Lakewood - Medium,3,RV and vehicle storage,$4000-8000
A+ Mini Storage,Storage Facility,5225 South M Street,Tacoma,98408,(253) 475-2880,Medium,South Tacoma - High,3,Smaller facility - budget option,$3500-4000
Iron Gate Storage,Storage Facility,1919 E 72nd St,Tacoma,98404,(253) 473-7771,Large,East Tacoma - High,3,East Tacoma high-crime zone,$4000-8000
The Trails at South Hill,Property Management,12010 Canyon Rd E,Puyallup,98373,(253) 841-0933,Very Large,Puyallup - Medium,4,Large apartment complex,$8000
Vintage at Tacoma,Property Management,5402 6th Ave,Tacoma,98406,(253) 761-8100,Large,Central Tacoma - High,4,Urban apartments - parking issues,$4000-8000
Park at Gateway,Property Management,1120 Commerce St,Tacoma,98402,(253) 272-7275,Large,Downtown Tacoma - High,4,Downtown location - crime concerns,$4000-8000
Salishan,Property Management,1718 Salishan Cir S,Tacoma,98405,(253) 473-7527,Large,East Tacoma - High,4,East Tacoma high-crime area,$4000-8000
Monterra Apartment Homes,Property Management,5720 111th St SW,Lakewood,98499,(253) 582-5600,Large,Lakewood - Medium,4,Large complex parking,$4000-8000
Cascadia Property Management,Property Management,Multiple Properties,Tacoma,98402,(253) 564-7400,Multiple,Various,4,Portfolio management - multiple sites,$10000+
Northwest Cannabis Solutions,Cannabis,20215 72nd Ave S,Kent,98032,(253) 872-2843,Medium,Kent - High,5,High-value inventory - compliance,$8000-10000
World of Weed,Cannabis Dispensary,8016 S Tacoma Way,Tacoma,98409,(253) 301-7221,Small,South Tacoma - High,5,Cash business - security critical,$4000-8000
Dockside Cannabis,Cannabis Dispensary,4321 Pacific Hwy E,Fife,98424,(253) 289-5444,Medium,Fife - Medium,5,High-traffic dispensary,$4000-8000
Emerald Haze Cannabis,Cannabis Dispensary,13017 Pacific Ave S,Tacoma,98444,(253) 536-5420,Small,Parkland - Medium,5,Parkland location,$3500-4000
Cannabis Central,Cannabis Dispensary,5501 6th Ave,Tacoma,98406,(253) 565-1130,Small,Central Tacoma - High,5,Urban location - foot traffic,$4000-8000
Fife 76 Truck Stop,Truck Stop,2002 54th Ave E,Fife,98424,(253) 922-2976,Very Large,Fife Industrial - High,2,Commercial truck parking security,$8000
Pacific Truck Repair,Commercial Service,7727 S Tacoma Way,Tacoma,98409,(253) 472-2000,Large,South Tacoma - High,2,Commercial fleet parking,$4000-8000
Tacoma Screw Products,Industrial,1521 Pacific Ave,Tacoma,98402,(253) 383-4758,Large,Port/Industrial - Medium,3,Industrial facility security,$4000-8000
Totem Ocean Trailer Express,Shipping/Logistics,1717 Tideflats Ave,Tacoma,98421,(253) 383-5615,Very Large,Port - Medium,2,Port facility - high-value cargo,$10000+
Puget Sound Energy,Utilities,Multiple Sites,Tacoma,98421,(253) 502-3000,Multiple,Various,3,Critical infrastructure,$8000-10000
Washington State Department of Transportation,Government,Multiple Yards,Tacoma,98409,,Large,Various,2,Equipment yards - theft prevention,$8000
Tacoma Public Schools,Education,Multiple Sites,Tacoma,98402,(253) 571-1000,Multiple,Various,4,School parking lots - community safety,$4000-8000
Clover Park School District,Education,10903 Gravelly Lake Dr SW,Lakewood,98499,(253) 583-5000,Multiple,Lakewood - Medium,4,Multiple school locations,$4000-8000
Tacoma Community College,Education,6501 S 19th St,Tacoma,98466,(253) 566-5000,Very Large,West Tacoma - Low,4,Large campus parking,$8000
